Team,Table Position,Team Image,Team Color,Goals Per Match,Expected Goals (xG),Shots on Target Per Match,Big Chances,Touches in Opposition Box,Goals Conceded Per Match,Expected Goals Conceded (xGC),Clean Sheets,Accurate Passes Per Match,Average Possesssion
Arsenal,2,Arsenal FC.png,#EF0107,2.4,77.4,6,113,1587,0.8,28.4,18,481,0.584
Aston Villa,4,Aston Villa.png,#95BFE5,2,64.7,5,98,1078,1.6,60.7,8,402.8,0.533
Bournemouth,12,AFC Bournemouth.png,#DA291C,1.4,56.7,4.9,83,1101,1.8,58.8,9,288.1,0.441
Brentford,16,Brentford FC.png,#E30613,1.5,59.8,4.5,107,1031,1.7,56.7,7,307,0.45
Brighton,11,Brighton & Hove Albion.png,#0057B8,1.4,58,5.5,91,1158,1.6,56.4,6,551.2,0.602
Burnley,19,Burnley FC.png,#6C1D45,1.1,40.9,3.7,60,871,2.1,71.9,2,344.1,0.473
Chelsea,6,Chelsea FC.png,#034694,2,75.3,5.7,122,1127,1.7,59,8,504.7,0.59
Crystal Palace,10,Crystal Palace.png,#C4122E,1.5,49.1,4.4,71,840,1.5,52.8,10,318.1,0.421
Everton,15,Everton FC.png,#003399,1.1,54.9,4.3,90,845,1.3,56.1,13,273.7,0.405
Fulham,13,Fulham FC.png,#FFFFFF,1.4,51.6,4.7,69,891,1.6,64.3,10,403.8,0.507
Liverpool,3,Liverpool FC.png,#C8102E,2.3,89.4,7.3,128,1513,1.1,46.2,10,508.2,0.616
Luton Town,18,Luton Town.png,#F15A22,1.4,43.4,3.7,65,830,2.2,79.8,2,267.1,0.422
Manchester City,1,Manchester City.png,#6CABDD,2.5,81.9,7.3,124,1573,0.9,35.9,13,625.1,0.6544
Manchester United,8,Manchester United.png,#DA291C,1.5,56.9,5.1,79,1109,1.5,70.1,9,393.4,0.505
Newcastle United,7,Newcastle United.png,#241F20,2.2,77.1,5.6,134,1178,1.6,62,10,396.7,0.523
Nottingham Forest,17,Nottingham Forest.png,#DD0000,1.3,50.4,3.9,81,824,1.8,53.9,4,293.3,0.403
Sheffield United,20,Sheffield United.png,#EE2737,0.9,39,3.4,62,694,2.7,77.5,1,232.5,0.355
Tottenham Hotspur,5,Tottenham Hotspur.png,#FFFFFF,1.9,69,5.7,107,1403,1.6,64.6,7,517.4,0.62
West Ham United,9,West Ham United.png,#7A263A,1.6,52.9,4.1,80,800,1.9,72.2,5,306.8,0.407
Wolverhampton,14,Wolverhampton Wanderers.png,#FDB913,1.3,47.6,4.2,73,795,1.7,68.9,5,382.2,0.489
